"county","coordinate"
"Adams","-122.33628494223058, 47.63748628060085"
"Asotin","0,0"
"Benton","0,0"
"Chelan","0,0"
"Clallam","0,0"
"Clark","0,0"
"Columbia","0,0"
"Cowlitz","0,0"
"Douglas","0,0"
"Ferry","0,0"
"Franklin","0,0"
"Garfield","0,0"
"Grant","0,0"
"Grays Harbor","0,0"
"Island","0,0"
"Jefferson","0,0"
"King","0,0"
"Kitsap","0,0"
"Kittitas","0,0"
"Klickitat","0,0"
"Lewis","0,0"
"Lincoln","0,0"
"Mason","0,0"
"Okanogan","0,0"
"Pacific","0,0"
"Pend Oreille","0,0"
"Pierce","0,0"
"San Juan","0,0"
"Skagit","0,0"
"Skamania","0,0"
"Snohomish","0,0"
"Spokane","0,0"
"Stevens","0,0"
"Thurston","0,0"
"Wahkiakum","0,0"
"Walla Walla","0,0"
"Whatcom","0,0"
"Whitman","0,0"
"Yakima","0,0"
